V0,V1,V2,V3
246,239,South Georgia and the South Sandwich Islands,0
247,724,Spain,0
248,839,Special Categories,0
249,144,Sri Lanka,0
250,736,Sudan,0
251,740,Suriname,0
252,748,Swaziland,0
253,752,Sweden,0
254,757,Switzerland,0
255,760,Syria,0
256,762,Tajikistan,0
257,807,TFYR of Macedonia,0
258,764,Thailand,0
259,626,Timor-Leste,0
260,768,Togo,0
261,772,Tokelau,0
262,776,Tonga,0
263,780,Trinidad and Tobago,0
264,788,Tunisia,0
265,792,Turkey,0
266,795,Turkmenistan,0
267,796,Turks and Caicos Isds,0
268,798,Tuvalu,0
269,800,Uganda,0
270,804,Ukraine,0
271,784,United Arab Emirates,0
272,826,United Kingdom,0
273,834,United Rep. of Tanzania,0
274,581,United States Minor Outlying Islands,0
275,858,Uruguay,0
276,849,US Misc. Pacific Isds,0
277,850,US Virgin Isds,0
278,842,USA,0
279,841,USA (before 1981),0
280,860,Uzbekistan,0
281,548,Vanuatu,0
282,862,Venezuela,0
283,704,Viet Nam,0
284,876,Wallis and Futuna Isds,0
285,879,Western Asia,0
286,732,Western Sahara,0
287,887,Yemen,0
288,894,Zambia,0
289,716,Zimbabwe,0
